time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-23 00:00:00+00:00,0,0,4,2
2022-11-24 00:00:00+00:00,0,0,4,3
2022-11-25 00:00:00+00:00,2,1,6,3
2022-11-26 00:00:00+00:00,0,0,2,2
2022-11-27 00:00:00+00:00,0,0,2,2
2022-11-28 00:00:00+00:00,0,0,3,3
2022-11-29 00:00:00+00:00,0,0,11,4
2022-11-30 00:00:00+00:00,4,4,8,6
2022-12-01 00:00:00+00:00,0,0,4,2
2022-12-02 00:00:00+00:00,0,0,13,3
2022-12-03 00:00:00+00:00,0,0,4,2
2022-12-04 00:00:00+00:00,0,0,8,4
2022-12-05 00:00:00+00:00,0,0,6,2
2022-12-06 00:00:00+00:00,6,4,2,2
2022-12-07 00:00:00+00:00,7,4,26,4
2022-12-08 00:00:00+00:00,3,3,6,5
2022-12-09 00:00:00+00:00,1,1,9,3
2022-12-10 00:00:00+00:00,3,3,5,4
2022-12-11 00:00:00+00:00,1,1,5,3
2022-12-12 00:00:00+00:00,4,3,0,0
2022-12-13 00:00:00+00:00,1,1,7,3
2022-12-14 00:00:00+00:00,2,2,13,6
2022-12-15 00:00:00+00:00,1,1,4,2
2022-12-16 00:00:00+00:00,1,1,6,4
2022-12-17 00:00:00+00:00,1,1,3,1
2022-12-18 00:00:00+00:00,1,1,2,1
2022-12-19 00:00:00+00:00,1,1,0,0
2022-12-20 00:00:00+00:00,2,2,14,3
2022-12-21 00:00:00+00:00,2,2,9,2
2022-12-22 00:00:00+00:00,1,1,5,3
2022-12-23 00:00:00+00:00,3,2,1,1
2022-12-24 00:00:00+00:00,2,2,6,2
2022-12-25 00:00:00+00:00,1,1,6,3
2022-12-26 00:00:00+00:00,1,1,3,2
2022-12-27 00:00:00+00:00,1,1,14,9
2022-12-28 00:00:00+00:00,1,1,0,0
2022-12-29 00:00:00+00:00,3,3,20,2
2022-12-30 00:00:00+00:00,3,2,3,1
2022-12-31 00:00:00+00:00,1,1,0,0
2023-01-01 00:00:00+00:00,2,2,3,2
2023-01-02 00:00:00+00:00,2,2,1,1
2023-01-03 00:00:00+00:00,12,7,10,3
2023-01-04 00:00:00+00:00,3,2,8,3
2023-01-05 00:00:00+00:00,1,1,2,1
2023-01-06 00:00:00+00:00,1,1,7,7
2023-01-07 00:00:00+00:00,2,2,1,1
2023-01-08 00:00:00+00:00,2,2,0,0
2023-01-09 00:00:00+00:00,4,3,14,5
2023-01-10 00:00:00+00:00,1,1,3,3
2023-01-11 00:00:00+00:00,2,2,8,4
2023-01-12 00:00:00+00:00,1,1,1,1
2023-01-13 00:00:00+00:00,1,1,7,2
2023-01-14 00:00:00+00:00,1,1,0,0
2023-01-15 00:00:00+00:00,2,2,1,1
2023-01-16 00:00:00+00:00,5,4,5,2
2023-01-17 00:00:00+00:00,2,2,2,2
2023-01-18 00:00:00+00:00,1,1,5,2
2023-01-19 00:00:00+00:00,2,2,2,1
2023-01-20 00:00:00+00:00,1,1,0,0
2023-01-21 00:00:00+00:00,1,1,0,0
2023-01-22 00:00:00+00:00,2,2,0,0
2023-01-23 00:00:00+00:00,1,1,0,0
